12356	18.5.1	0.5	10.00	0.1	3.00
12356	18.5.2	0.5	10.00	0.1	3.00
12356	18.5.3	0.5	10.00	0.1	3.00
12356	18.5.4	0.5	10.00	0.1	3.00
12356	18.5.5	0.5	10.00	0.1	3.00
12356	18.5.6	0.5	10.00	0.1	3.00
12356	18.5.7	0.5	10.00	0.1	3.00
12356	18.5.8	0.5	10.00	0.1	3.00
12356	18.5.9	0.5	10.00	0.1	3.00
12356	18.5.10	0.5	10.00	0.1	3.00
12356	18.5.11	0.5	10.00	0.1	3.00
12356	18.5.12	0.5	10.00	0.1	3.00
12356	18.5.13	0.5	10.00	0.1	3.00
12356	18.5.14	0.5	10.00	0.1	3.00
12356	18.5.15	0.5	10.00	0.1	3.00
12356	18.5.16	0.5	10.00	0.1	3.00
12356	18.5.17	0.5	10.00	0.1	3.00
12356	18.5.18	2.06	11.62	1.62	6.04
